Article Title,Article Type,Newspaper,Publication City,Publication State,Link,Species,Reviewer1,Reviewer1_date,Reviewer2,Reviewer2_date,Code1,Code1_valence,Code2,Code2_valence,Code3,Code3_valence,Code4,Code4_valence,Code5,Code5_valence,Notes
"Citing grizzlies, groups sue over grazing plan in Paradise Valley",local article,Helena Independent Record,Helena,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=Citing%20grizzlies%2C%20groups%20sue%20over%20grazing%20plan%20in%20Paradise%20Valley&docref=news/18C8170AD46B8230 bear,Matt Williamson,9/28/2022,,,Grazing conflicts with wildlife,negative,,,,,,,,,
"Grizzly bear attacks, injures antler hunters in Wyoming",local article,Associated Press State Wire,,ID,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=1&maxresults=20&f=advanced&val-base-0=%22grizzly%20bears%22&fld-base-0=alltext&docref=news/18D370A541F74FA8https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=1&maxresults=20&f=advanced&val-base-0=%22grizzly%20bears%22&fld-base-0=alltext&docref=news/18D370A541F74FA8,Grizzly bear,BW,10/26/22,,,Wildlife conflicts with recreationists,negative,Human injury,negative,,,,,,,
"Fewer grizzly bear conflicts, removals reported so far this year",local article,Laramie Boomerang,Laramie,WY,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=2&maxresults=20&f=advanced&val-base-0=%22grizzly%20bears%22&fld-base-0=alltext&docref=news/18D2BD9E847AFCE8,Grizzly bear,BW,10/26/22,IP,12/2/2022,Wildlife conflicts with recreationists,negative,Wildlife is increasing,positive,Wildlife injury,negative,Problem is people,negative,Wildlife conflicts with homeowners,negative,
Bears aren't as carnivorous as previously thought WSU study finds,local article,Bellingham Herald,Bellingham,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=4&maxresults=20&f=advanced&val-base-0=%22grizzly%20bears%22&fld-base-0=alltext&docref=news/18D132C143DDCAB8,Grizzly bear,BW,10/26/22,IP,12/2/2022,Problem is people,negative,Problem is managers,negative,,,,,,,
Bears Are Omnivores Like Humans,,"Plexus Encyclopedia of Medicine, Science, and Technology, The (USA)",,WI,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=17&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18D3C5C6548F0BD8,Grizzly Bear,BW,11/1/22,IP,12/2/2022,Problem is people,negative,,,,,,,,,
​​Grizzly advocates appeal ruling on Upper Green River grazing,local article,Wyoming Business Report,,WY,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=18&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18CFAE1B20167A40,Grizzly Bear,BW,11/1/22,IP,12/2/2022,Problem is managers,negative,Problem is people,negative,Grazing conflicts with wildlife,negative,,,,,
"Grizzlies captured in Bitterroot, relocated",local article,Billings Gazette,Billings,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=18&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18CF5B452F5084B0,Grizzly Bear,BW,11/1/22,IP,12/2/2022,Wildlife conflicts with homeowners,negative,Wildlife relocated,positive,,,,,,,
Nature Guide Spots Up to 13 Wolverines Chasing Grizzly Bears in the Grand Tetons,Online Magazine,Field and Stream,Online,Online,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=20&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18CEFE26522C7358,Grizzly Bear,BW,11/3/22,IP,12/2/2022,Wildlife conflicts with other wildlife,negative,,,,,,,,,
Don't expand development on Holland Lake,local article,Daily Inter Lake ,Kalispell,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=17&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18CE672FEF7A3C60,Grizzly Bear,BW,11/3/22,IP,12/2/2022,Problem is people,negative,Problem is development,negative,,,,,,,
"$51, 100 Reward Offered for Info on Washington Wolf Poisonings",local article,Statesman-Examiner,Colville,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=4&fld-base-0=alltext&maxresults=20&val-base-0=%22wolves%22&docref=news/18D39780112E5890,Wolves,IP,11/10/22,BW,12/7/2022,Problem is people,negative,,,,,,,,,
Wildlife Department calls off wolf hunt after discovery of unburied cattle carcasses,local article,Statesman-Examiner,Colville,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=4&fld-base-0=alltext&maxresults=20&val-base-0=%22wolves%22&docref=news/18D3978007962768,Wolves,IP,11/12/22,BW,12/7/2022,Problem is managers,negative,Wildlife conflicts with other wildlife,negative,,,,,,,
She mistook a dog for a wolf - and fired,local article,Wallowa County Cheiftain,Enterprise,OR,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=4&fld-base-0=alltext&maxresults=20&val-base-0=%22wolves%22&docref=news/18D40856C83EEA88,Wolves,IP,11/12/22,BW,1/30/2023,Problem is people,negative,Wildlife injury,negative,,,,,,,
"Cougars kill wolves in Washington, raising questions about predator-on-predator dynamics",local article,Spoksman Review,Spokane,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=4&fld-base-0=alltext&maxresults=20&val-base-0=%22wolf%22&docref=news/18D8FCEE6780F5F8,Wolves,IP,11/14/22,BW,1/30/2023,Wildlife injury,negative,Wildlife conflicts with other wildlife,negative,,,,,,,
U.S. Wildlife kills second wolf near Meacham,local article,Baker City Herald,Baker,OR,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=6&fld-base-0=alltext&maxresults=20&val-base-0=%22wolves%22&docref=news/18D8FFACD483A9C8,Wolves,IP,11/14/22,BW,1/30/2023,Grazing conflicts with wildlife,negative,Wildlife injury,negative,,,,,,,
"Deer abundence, CWD, and is that a wolf?",local article,Times Herald-Record,Middelton,NY,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=wolf%20animal&docref=news/18DDD9FD54CFAEB8,Wolves,IP,11/18/22,BW,1/30/2023,Wildlife is increasing,negative,,,,,,,,,
Will California reintroduce grizzly bears to wilderness areas?,local article,Mt. Shasta Herald,Mt. Shasta,CA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bear%22&docref=news/18D88F76B8D59F20,Grizzly Bear,BW,11/3/22,,,Problem is development,negative,Wildlife conflicts with recreation,negative,Wildlife conflicts with homeowners,negative,Problem is people,negative,,,
Forest Service reactivates planning for West Yellowstone-area timber project,local article,Billings Gazette,Billings,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=1&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bear%22&docref=news/18D897F724F770A0,Grizzly Bear,BW,11/3/22,,,Problem is development,negative,Problem is managers,negative,,,,,,,
UW Study Finds Wild Animals Are More Sensitive to Human Presence Than Previously Thought,local article,The Chronicle,Centralia,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=2&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bear%22&docref=news/18D83AD851957700,Grizzly Bear,BW,11/3/22,,,Problem is people,negative,,,,,,,,,
Charlo man pleads not guilty to killing grizzly,local article,Billings Gazette,Billings,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=2&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=image/v2%3A17DFD0CE005F6DB0%40AWNB-18D6E30FC3454F7D%402459881-18D6E3256C829D52%409-18D6E3256C829D52%40,Grizzly Bear,BW,11/4/22,,,Wildlife conflicts with recreation,negative,Problem is people,negative,,,,,,,
Elected officials weigh in on Holland Lake Lodge expansion proposal,local article,Bigfork Eagle,Kallispell,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=2&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18D64C1D32E7E7F8,Grizzly Bear,BW,11/4/22,,,Problem is development,negative,Problem is people,negative,,,,,,,
"Dr. Barrie Gilbert: Grizzly bear expansion needs our welcome, not our weapons",local article,Missoulian,Missoula,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18D93E58A94114B8,Grizzly Bear,BW,11/4/22,,,Problem is people,negative,Wildlife is decreasing,negative,,,,,,,
Why does Mary Peltola support the Ambler Road?,local article,Artic Sounder,Anchorage,AK,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18D8CEA7A39F7220,Grizzly Bear,BW,11/4/22,,,Problem is people,negative,,,,,,,,,
Grizzly bears could return to North Cascades mountain range with help from Uncle Sam,small group editorial,Washington Times,DC,VA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DC7DEA41171168,Grizzly Bear,BW,11/14/22,,,Problem is people,negative,Problem is grazing/agriculture,negative,Wildlife is decreasing,negative,,,,,
Feds again consider reintroducing grizzlies to North Cascades,local article,Sacramento Bee,Sacramento,CA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DC6C1769D029A0,Grizzly Bear,BW,11/14/22,,,Problem is people,negative,Wildlife is decreasing,negative,,,,,,,
Sheep,local article,Bozeman Daily Chronicle,Bozeman,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=image/v2%3A17DFCC180F3BDB48%40AWNB-18DB8757329E682A%402459897-18DC301C367618B1%4010-18DC301C367618B1%40,Grizzly Bear,BW,11/14/22,,,Problem is people,negative,Problem is grazing/agriculture,negative,,,,,,,
They’ve got food and feel safe: Why WSU bears tend to make themselves at home,local article,Moscow-pullman Dailey News,Moscow,ID,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=2&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DBC5B753A017F8,Grizzly Bear,BW,11/14/22,,,Problem is people,negative,Wildlife relocated,negative,,,,,,,
Say no to grizzly bears in North Cascades,local article,Capital Press,Salem,OR,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DD96336697F1A0,Grizzly Bear,BW,11/17/22,,,Problem is wildlife,negative,Problem is managers,negative,Wildlife is increasing,negative,,,,,
Highway 93 updates,local article,Lake County Leader & Advertiser,Polson,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DD8CD5715F30D0,Grizzly Bear,BW,11/17/22,,,Problem is development,negative,Problem is wildlife,negative,,,,,,,
Federal government restarts effort to restore grizzly bears to Washington’s rugged North Cascades,local article,The Spokesman-Review,Spokane,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DD851A46696350,Grizzly Bear,BW,11/17/22,,,Problem is managers,negative,Wildlife conflicts with recreation,negative,,,,,,,
North Cascades grizzly plan eyed again,local article,Seattle Times,Seattle,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=6&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DB992D254F9ED8,Grizzly Bear,BW,11/17/22,,,Problem is people,negative,Problem is wildlife,negative,,,,,,,
Wildlife Advocates Applaud Restart of Process to Return Grizzly Bears to North Cascades,news wire service,Targeted News Service,,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=6&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DB95DA1EB2F2A0,Grizzly Bear,BW,11/17/22,,,Problem is people,negative,Wildlife is increasing,positive,,,,,,,
Feds resume study of restoring grizzlies to North Cascades,non-profit news agency,Associated Press,NYC,NY,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=7&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DB51D5EC758BC8,Grizzly Bear,BW,11/17/22,,,Problem is people,negative,Problem is development,negative,Problem is managers,negative,Wildlife relocated,positive,,,
Decision on environmental assessment on Holland Lake Lodge expansion could land soon,local article,Daily Inter Lake,Kalispell,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=7&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18DAE94BC2E20598,Grizzly Bear,BW,11/17/22,,,Problem is development,negative,Problem is people,negative,Problem is managers,negative,,,,,
"Cameras could be key to reducing wildlife collisions, say conservationists",local article,Peace Country Sun,Alberta,Canada,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3ACanada%21Canada&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=wolves&docref=news/18DDCA8DFA1D03A0,Wolves,IP,11/22/22,BW,12/7/2022,Wildlife injury,negative,Problem is development,negative,Wildlife conflicts with recreation,negative,,,,,
